        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202604290600,   0.095,   1.108,   0.800,   0.213,   1.108,   0.700,   1.008,   0.800,   1.108
202604290606,   0.088,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290612,   0.081,   1.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290618,   0.074,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290624,   0.068,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290630,   0.062,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290636,   0.056,   1.220,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290642,   0.050,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290648,   0.045,   1.200,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290654,   0.040,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290700,   0.035,   0.980,   0.800,   0.145,   0.980,   0.700,   0.880,   0.800,   0.980
202604290706,   0.031,   0.980,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290712,   0.027,   1.161,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290718,   0.024,   1.161,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290724,   0.021,   1.161,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290730,   0.018,   1.151,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290736,   0.017,   1.128,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290742,   0.015,   1.138,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290748,   0.014,   1.151,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290754,   0.014,   1.170,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290800,   0.014,   1.010,   0.800,   0.196,   1.010,   0.800,   1.010,   0.800,   1.010
202604290806,   0.015,   1.020,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290812,   0.016,   1.200,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290818,   0.018,   1.210,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604290824,   0.020,   1.200,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
